meter_id,period_start,period_end,missing_share,zero_load_hours,standby_candidate_hours,excess_kwh,thr_kw,quiet_day_ratio,status,status_reason
meter_1,2025-12-01T00:15:00+01:00,2026-09-01T00:00:00+02:00,0.0,3972.25,197.25,122.14046099999999,2.356,0.385,estimated,ok
meter_2,2025-12-01T00:15:00+01:00,2026-08-28T14:45:00+02:00,0.0,1771.5,,,1.536,0.997,declined,no_distinct_quiet_regime
meter_3,2025-12-01T00:15:00+01:00,2026-08-28T14:45:00+02:00,0.0,27.75,,,12.933,0.512,declined,no_distinct_quiet_regime
meter_4,2026-07-03T12:00:00+02:00,2026-09-01T00:00:00+02:00,0.0866,60.75,,,4.948,0.83,declined,no_distinct_quiet_regime
meter_5,2025-12-01T00:15:00+01:00,2026-09-01T00:00:00+02:00,0.074,0.0,1141.5,3625.778959,4.56,0.177,estimated,ok
meter_6,2025-12-01T00:15:00+01:00,2026-09-01T00:00:00+02:00,0.0,1325.25,1010.0,91195.84,145.92,0.362,estimated,ok
meter_7,2025-12-22T12:15:00+01:00,2026-09-01T00:00:00+02:00,0.0021,587.25,700.25,148.525316,0.574,0.036,estimated,ok
meter_8,2025-12-01T00:15:00+01:00,2026-09-01T00:00:00+02:00,0.0,3.75,1101.5,39940.8,49.2,0.289,estimated,ok
meter_9,2025-12-01T00:15:00+01:00,2026-09-01T00:00:00+02:00,0.0012,4109.25,,,1.035,0.583,declined,no_distinct_quiet_regime
meter_10,2025-12-01T00:15:00+01:00,2026-09-01T00:00:00+02:00,0.0011,274.25,,,0.59,0.992,declined,no_distinct_quiet_regime
